DATE,GDPC1
1947-01-01,2036.2040000000000000
1948-01-01,2119.9592500000000000
1949-01-01,2107.9990000000000000
1950-01-01,2291.1105000000000000
1951-01-01,2475.4487500000000000
1952-01-01,2576.6580000000000000
1953-01-01,2697.4562500000000000
1954-01-01,2681.8540000000000000
1955-01-01,2873.1597500000000000
1956-01-01,2934.3912500000000000
1957-01-01,2996.1780000000000000
1958-01-01,2973.9822500000000000
1959-01-01,3180.2200000000000000
1960-01-01,3262.0610000000000000
1961-01-01,3345.6902500000000000
1962-01-01,3550.6837500000000000
1963-01-01,3705.3177500000000000
1964-01-01,3918.7907500000000000
1965-01-01,4173.4237500000000000
1966-01-01,4448.7030000000000000
1967-01-01,4570.7090000000000000
1968-01-01,4795.3870000000000000
1969-01-01,4945.2352500000000000
1970-01-01,4954.4357500000000000
1971-01-01,5117.6030000000000000
1972-01-01,5386.7330000000000000
1973-01-01,5690.8527500000000000
1974-01-01,5660.0907500000000000
1975-01-01,5648.4617500000000000
1976-01-01,5952.8090000000000000
1977-01-01,6228.0765000000000000
1978-01-01,6572.8190000000000000
1979-01-01,6780.9237500000000000
1980-01-01,6763.5137500000000000
1981-01-01,6935.1532500000000000
1982-01-01,6810.1200000000000000
1983-01-01,7122.2905000000000000
1984-01-01,7637.7040000000000000
1985-01-01,7956.1695000000000000
1986-01-01,8231.6635000000000000
1987-01-01,8516.4182500000000000
1988-01-01,8872.1542500000000000
1989-01-01,9197.9975000000000000
1990-01-01,9371.4680000000000000
1991-01-01,9361.3220000000000000
1992-01-01,9691.0687500000000000
1993-01-01,9957.7462500000000000
1994-01-01,10358.9232500000000000
1995-01-01,10636.9787500000000000
1996-01-01,11038.2660000000000000
1997-01-01,11529.1570000000000000
1998-01-01,12045.8240000000000000
1999-01-01,12623.361000000000
2000-01-01,13138.035250000000
2001-01-01,13263.417000000000
2002-01-01,13488.357000000000
2003-01-01,13865.519250000000
2004-01-01,14399.696000000000
2005-01-01,14901.269000000000
2006-01-01,15315.943250000000
2007-01-01,15623.871500000000
2008-01-01,15642.962000000000
2009-01-01,15236.262250000000
2010-01-01,15648.991000000000
2011-01-01,15891.534000000000
2012-01-01,16253.970000000000
2013-01-01,16553.347500000000
2014-01-01,16932.051750000000
2015-01-01,17390.295250000000
2016-01-01,17680.273750000000
2017-01-01,18076.651500000000
2018-01-01,18609.078250000000
2019-01-01,19036.052250000000
2020-01-01,18509.142750000000
2021-01-01,19609.811750000000
2022-01-01,.
