year,country,unemployment_rate,inflation_rate,change_inflation
1991,Japan,2.0999999049999998,3.251438488,NA
1992,Japan,2.200000048,1.760283061,-1.4911554269999998
1993,Japan,2.5,1.243045897,-0.517237164
1994,Japan,2.9000000950000002,0.695458058,-0.547587839
1995,Japan,3.200000048,-0.127899045,-0.823357103
1996,Japan,3.4000000950000002,0.136600359,0.264499404
1997,Japan,3.4000000950000002,1.747804587,1.611204228
1998,Japan,4.099999905,0.661974191,-1.085830396
1999,Japan,4.699999809,-0.341296928,-1.0032711189999999
2000,Japan,4.75,-0.676578684,-0.335281756
2001,Japan,5.019999981,-0.740055504,-0.06347681999999999
2002,Japan,5.389999866,-0.923494027,-0.18343852300000008
2003,Japan,5.25,-0.256541816,0.6669522110000001
2004,Japan,4.730000019,-0.008573388,0.247968428
2005,Japan,4.449999809,-0.282946069,-0.274372681
2006,Japan,4.190000057,0.249355116,0.532301185
2007,Japan,3.890000105,0.060039454,-0.189315662
2008,Japan,4,1.380078862,1.320039408
2009,Japan,5.070000172,-1.35283673,-2.732915592
2010,Japan,5.099999905,-0.728243208,0.624593522
2011,Japan,4.550000191,-0.272455616,0.45578759199999996
2012,Japan,4.360000134,-0.04406451,0.228391106
2013,Japan,4,0.335037912,0.379102422
2014,Japan,3.5999999049999998,2.759226714,2.4241888019999998
2015,Japan,3.4000000950000002,0.795279631,-1.9639470829999999
2016,Japan,3.0999999049999998,-0.127258844,-0.922538475
2017,Japan,2.799999952,0.484199796,0.61145864
2018,Japan,2.4000000950000002,0.989094598,0.5048948019999999
2019,Japan,2.4000000950000002,0.468776159,-0.520318439
2020,Japan,2.799999952,-0.024995834,-0.493771993
2021,Japan,2.799000025,-0.233352779,-0.20835694500000002
