DATE,GDPPOT,GDPC1
2002-01-01,13642.026653665946,13394.91
2002-04-01,13731.527536916305,13477.356
2002-07-01,13819.421745281743,13531.741
2002-10-01,13906.0730892485,13549.421
2003-01-01,13992.484504845459,13619.434
2003-04-01,14079.71664749195,13741.107
2003-07-01,14166.968380640943,13970.157
2003-10-01,14255.295748528804,14131.379
2004-01-01,14345.471525215591,14212.34
2004-04-01,14436.967695131636,14323.017
2004-07-01,14530.65715477864,14457.832
2004-10-01,14625.540051760048,14605.595
2005-01-01,14718.907157195204,14767.846
2005-04-01,14809.96635559478,14839.707
2005-07-01,14899.764672396343,14956.291
2005-10-01,14987.734747776842,15041.232
2006-01-01,15073.664817058681,15244.088
2006-04-01,15158.023715379784,15281.525
2006-07-01,15239.103339568164,15304.517
2006-10-01,15316.914218297932,15433.643
2007-01-01,15394.59126299462,15478.956
2007-04-01,15472.772148648757,15577.779
2007-07-01,15551.685448278575,15671.605
2007-10-01,15630.164389951682,15767.146
2008-01-01,15707.896436018797,15702.906
2008-04-01,15782.945118773247,15792.773
2008-07-01,15854.479153554397,15709.562
2008-10-01,15921.647052393451,15366.607
2009-01-01,15983.298522700341,15187.475
2009-04-01,16040.702644623096,15161.772
2009-07-01,16094.741671790714,15216.647
2009-10-01,16147.063356892382,15379.155
2010-01-01,16199.710242322295,15456.059
2010-04-01,16253.716157120327,15605.628
2010-07-01,16310.447723810714,15726.282
2010-10-01,16369.305151435134,15807.995
2011-01-01,16430.464766780584,15769.911
2011-04-01,16494.124187380123,15876.839
2011-07-01,16560.109528317294,15870.684
2011-10-01,16627.891653548617,16048.702
2012-01-01,16697.390719924417,16179.968
2012-04-01,16768.971178461616,16253.726
2012-07-01,16842.16031452139,16282.151
2012-10-01,16916.653882648665,16300.035
2013-01-01,16992.571486427674,16441.485
2013-04-01,17069.566062011083,16464.402
2013-07-01,17147.150782277757,16594.743
2013-10-01,17225.802388399334,16712.76
2014-01-01,17305.419454168063,16654.247
2014-04-01,17385.710529393622,16868.109
2014-07-01,17467.54920948041,17064.616
2014-10-01,17550.01479200841,17141.235
2015-01-01,17632.760612537964,17280.647
2015-04-01,17715.60133499204,17380.875
2015-07-01,17797.91133893585,17437.08
2015-10-01,17879.075022707257,17462.579
2016-01-01,17959.52472566844,17565.465
2016-04-01,18039.058551483766,17618.581
2016-07-01,18117.649189862594,17724.489
2016-10-01,18195.876939707825,17812.56
2017-01-01,18274.532822062818,17889.094
2017-04-01,18352.950873578,17979.218
2017-07-01,18433.50352198413,18127.994
2017-10-01,18516.076051463522,18310.3
2018-01-01,18600.54251694602,18437.127
2018-04-01,18687.322097031873,18565.697
2018-07-01,18776.099110468444,18699.748
2018-10-01,18865.37289745312,18733.741
2019-01-01,18954.764599505463,18835.411
2019-04-01,19044.881460273402,18962.175
2019-07-01,19135.419343657588,19130.932
2019-10-01,19225.599085747494,19215.691
2020-01-01,19314.330228562518,18989.877
2020-04-01,19399.659424294787,17378.712
2020-07-01,19477.214282920206,18743.72
2020-10-01,19559.27125986976,18924.262
2021-01-01,19644.49,19216.224
2021-04-01,19732.99,19544.248
2021-07-01,19822.82,19672.594
2021-10-01,19914.29,20006.181
2022-01-01,20005.45,19924.088
